https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608728400,2020-12-23 13:00:00,LINK/EUR,9.93255,9.98896,9.72261,9.73923,9.88938,8789.58115048,85603.75242818933,186
1608724800,2020-12-23 12:00:00,LINK/EUR,9.77000,10.00000,9.67000,9.99755,9.83638,11274.95394455,112721.91580833585,135
1608721200,2020-12-23 11:00:00,LINK/EUR,9.77255,9.79812,9.55000,9.77434,9.69772,16395.32503074,160253.48126096322,334
1608717600,2020-12-23 10:00:00,LINK/EUR,9.95306,10.01031,9.74899,9.76523,9.85705,12001.95557426,117201.856632431,209
1608714000,2020-12-23 09:00:00,LINK/EUR,9.98124,9.99600,9.85755,9.95132,9.93169,9863.72064721,98157.04055099383,202
1608710400,2020-12-23 08:00:00,LINK/EUR,10.04898,10.13584,9.98588,9.99210,10.06374,4564.85797904,45612.51741236559,76
1608706800,2020-12-23 07:00:00,LINK/EUR,10.05000,10.11650,9.95202,10.08909,10.04062,8958.34887904,90381.58809203368,143
1608703200,2020-12-23 06:00:00,LINK/EUR,10.13508,10.17522,10.06000,10.06000,10.13217,2901.84042807,29192.5147063842,51
1608699600,2020-12-23 05:00:00,LINK/EUR,10.20338,10.21402,10.08277,10.13099,10.14511,2295.59861271,23256.686589378885,52
1608696000,2020-12-23 04:00:00,LINK/EUR,10.23346,10.27363,10.14000,10.19292,10.19432,3232.23660846,32945.92917110411,54
1608692400,2020-12-23 03:00:00,LINK/EUR,10.29800,10.31592,10.28489,10.28489,10.29535,348.00808079,3579.2248300362635,12
1608688800,2020-12-23 02:00:00,LINK/EUR,10.30000,10.30000,10.23428,10.29608,10.27311,2393.64491742,24645.159561349716,29
1608685200,2020-12-23 01:00:00,LINK/EUR,10.46011,10.48304,10.31723,10.31834,10.36629,1435.52898511,14812.276148219915,26
1608681600,2020-12-23 00:00:00,LINK/EUR,10.48000,10.49796,10.41936,10.45299,10.46940,3578.78355635,37408.98872669099,81
1608678000,2020-12-22 23:00:00,LINK/EUR,10.37903,10.52082,10.35561,10.47757,10.42072,9119.23479076,95547.42086662324,138
1608674400,2020-12-22 22:00:00,LINK/EUR,10.34208,10.39295,10.28000,10.38286,10.34458,1279.94096169,13289.447813492634,73
1608670800,2020-12-22 21:00:00,LINK/EUR,10.35000,10.43540,10.30267,10.34000,10.38390,9855.17741573,101902.5344786482,153
1608667200,2020-12-22 20:00:00,LINK/EUR,10.34284,10.35767,10.25100,10.32511,10.30910,2848.42003211,29410.250157739287,72
1608663600,2020-12-22 19:00:00,LINK/EUR,10.36900,10.36900,10.30740,10.33687,10.32246,5062.38324828,52329.19752764808,78
1608660000,2020-12-22 18:00:00,LINK/EUR,10.39799,10.40504,10.30729,10.35429,10.35516,1523.97399761,15779.668723713248,62
1608656400,2020-12-22 17:00:00,LINK/EUR,10.38070,10.41111,10.33253,10.36609,10.37911,583.22567368,6045.769823677511,31
1608652800,2020-12-22 16:00:00,LINK/EUR,10.39170,10.54040,10.34362,10.37821,10.45869,13147.45904359,136447.0909207762,207
1608649200,2020-12-22 15:00:00,LINK/EUR,10.18644,10.44126,10.13748,10.40000,10.30779,10071.05248043,104738.945796472,152
1608645600,2020-12-22 14:00:00,LINK/EUR,10.25519,10.26324,10.16366,10.16366,10.21199,6853.19607074,69653.55477633732,125
1608642000,2020-12-22 13:00:00,LINK/EUR,10.08165,10.26631,10.00001,10.26631,10.09008,8373.44689222,85964.40156406711,149
1608638400,2020-12-22 12:00:00,LINK/EUR,10.01665,10.10909,9.98615,10.07610,10.03707,10663.05389701,107441.99737166247,126
1608634800,2020-12-22 11:00:00,LINK/EUR,9.92257,10.06578,9.92257,10.01358,9.99356,9572.49825339,95854.97706018103,111
1608631200,2020-12-22 10:00:00,LINK/EUR,9.98535,9.98999,9.89357,9.92329,9.96147,9592.09617143,95185.1520169896,96
1608627600,2020-12-22 09:00:00,LINK/EUR,9.89476,9.98723,9.81671,9.98723,9.91150,15778.25171818,157581.02890735885,133
1608624000,2020-12-22 08:00:00,LINK/EUR,9.88455,9.92769,9.70000,9.89149,9.77726,9869.39669654,97623.03872985844,209
1608620400,2020-12-22 07:00:00,LINK/EUR,9.99251,10.05810,9.83520,9.87493,9.92287,14252.11000500,140738.58865167465,170
1608616800,2020-12-22 06:00:00,LINK/EUR,9.98275,10.05123,9.95214,10.02593,9.99693,1283.55735596,12868.856201840044,41
1608613200,2020-12-22 05:00:00,LINK/EUR,10.16053,10.16350,9.99744,9.99744,10.06835,1366.47123119,13661.214145548152,44
1608609600,2020-12-22 04:00:00,LINK/EUR,10.21722,10.22277,10.16725,10.22277,10.18441,80.16226738,819.4804221042426,8
1608606000,2020-12-22 03:00:00,LINK/EUR,10.09104,10.20590,10.08917,10.19179,10.13118,1462.41602254,14904.636994362947,16
1608602400,2020-12-22 02:00:00,LINK/EUR,9.98068,10.09148,9.98068,10.09148,10.04942,837.49104380,8451.524118686824,5
1608598800,2020-12-22 01:00:00,LINK/EUR,10.00209,10.04047,9.93000,9.97979,9.96537,6900.17891826,68862.33656666196,92
1608595200,2020-12-22 00:00:00,LINK/EUR,10.08830,10.16998,9.98800,9.98800,10.04997,5624.15230046,56174.03317699448,91
1608591600,2020-12-21 23:00:00,LINK/EUR,10.22056,10.22629,10.07385,10.07385,10.11537,2180.46365764,21965.663817516714,38
1608588000,2020-12-21 22:00:00,LINK/EUR,10.24386,10.25387,10.19094,10.20222,10.23546,981.13264677,10009.731111529829,46
1608584400,2020-12-21 21:00:00,LINK/EUR,10.14625,10.28269,10.11080,10.26723,10.18794,7972.72623062,81857.81393680858,84
1608580800,2020-12-21 20:00:00,LINK/EUR,10.14504,10.19796,10.07693,10.07693,10.11957,2955.37502762,29781.107277074807,50
1608577200,2020-12-21 19:00:00,LINK/EUR,10.17174,10.24000,10.12000,10.12000,10.16649,3431.54755262,34727.26123251439,102
1608573600,2020-12-21 18:00:00,LINK/EUR,10.08252,10.23187,10.04995,10.15585,10.11384,4635.24861893,47074.88968656024,109
1608570000,2020-12-21 17:00:00,LINK/EUR,10.10812,10.14533,9.97376,10.08013,10.02325,28038.97378829,282636.5008525557,229
1608566400,2020-12-21 16:00:00,LINK/EUR,10.14831,10.14831,9.92800,10.12707,10.04198,13281.44963926,134502.17019826075,214
1608562800,2020-12-21 15:00:00,LINK/EUR,10.30604,10.30776,10.17841,10.17841,10.21712,4254.39878664,43303.01515392444,110
1608559200,2020-12-21 14:00:00,LINK/EUR,10.20788,10.31670,10.13957,10.31086,10.21474,6655.20944600,68620.93286838356,109
1608555600,2020-12-21 13:00:00,LINK/EUR,10.13128,10.25359,10.12999,10.22742,10.18886,16490.03856122,168650.55018179267,177
1608552000,2020-12-21 12:00:00,LINK/EUR,10.11387,10.19091,10.00185,10.12431,10.08447,8632.45979349,87397.69901182874,222
1608548400,2020-12-21 11:00:00,LINK/EUR,10.10536,10.25676,10.09384,10.12571,10.16727,7729.58319450,78267.5178483806,176
1608544800,2020-12-21 10:00:00,LINK/EUR,10.47413,10.48824,10.00954,10.09638,10.21500,41176.79306111,415736.5499263298,623
1608541200,2020-12-21 09:00:00,LINK/EUR,10.50000,10.54269,10.41257,10.46533,10.48685,24408.08192627,255438.6320254512,221
1608537600,2020-12-21 08:00:00,LINK/EUR,10.79251,10.81450,10.50294,10.50957,10.69579,7559.29435247,79444.93314788814,122
1608534000,2020-12-21 07:00:00,LINK/EUR,10.74521,10.82700,10.74521,10.79252,10.77898,4309.42717466,46509.57897106154,78
1608530400,2020-12-21 06:00:00,LINK/EUR,10.70940,10.73225,10.62152,10.73158,10.67476,2609.35349574,28002.485787813468,69
1608526800,2020-12-21 05:00:00,LINK/EUR,10.77468,10.78511,10.70000,10.73679,10.74032,1323.98302007,14215.327650057376,24
1608523200,2020-12-21 04:00:00,LINK/EUR,10.72010,10.81280,10.70714,10.80070,10.77346,944.55916761,10201.900201605327,19
1608519600,2020-12-21 03:00:00,LINK/EUR,10.70389,10.70990,10.67832,10.70990,10.70133,576.86020227,6178.115080291472,16
1608516000,2020-12-21 02:00:00,LINK/EUR,10.73046,10.76131,10.73046,10.75842,10.75716,206.62630882,2222.972613335264,8
1608512400,2020-12-21 01:00:00,LINK/EUR,10.71002,10.75896,10.67281,10.75896,10.68831,2992.69352904,32198.2699712002,37
1608508800,2020-12-21 00:00:00,LINK/EUR,10.66813,10.74153,10.50012,10.71758,10.63477,9125.35670933,97801.74056078102,449
1608505200,2020-12-20 23:00:00,LINK/EUR,10.62000,10.72409,10.62000,10.67130,10.68007,11905.97348779,127052.21488025342,136
1608501600,2020-12-20 22:00:00,LINK/EUR,10.76000,10.76000,10.36000,10.62231,10.55004,30824.97720951,327432.4636623502,537
1608498000,2020-12-20 21:00:00,LINK/EUR,11.06635,11.09826,10.77147,10.77147,10.88341,18478.64372970,199042.1565751517,219
1608494400,2020-12-20 20:00:00,LINK/EUR,10.92721,11.08651,10.92000,11.06246,10.96721,5700.51778886,63061.75001855219,90
1608490800,2020-12-20 19:00:00,LINK/EUR,10.99996,11.00688,10.87922,10.91237,10.92960,6248.78044764,68189.0042934133,92
1608487200,2020-12-20 18:00:00,LINK/EUR,11.02089,11.05000,10.98000,11.05000,10.99689,9482.05914453,104776.7535470565,64
1608483600,2020-12-20 17:00:00,LINK/EUR,11.07091,11.07091,10.99989,10.99990,11.03455,3220.55822022,35425.818366597974,58
1608480000,2020-12-20 16:00:00,LINK/EUR,11.01942,11.11000,10.99003,11.09162,11.02737,745.76182324,8271.70675388525,38
1608476400,2020-12-20 15:00:00,LINK/EUR,10.97855,11.10000,10.97855,11.02674,11.04609,6835.68693811,75375.34258793505,116
1608472800,2020-12-20 14:00:00,LINK/EUR,10.90005,11.01906,10.88116,11.00577,10.96650,4371.30970220,48109.6291811817,81
1608469200,2020-12-20 13:00:00,LINK/EUR,10.88797,10.89759,10.77559,10.89697,10.82524,2217.94513413,24168.881588260585,75
