https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume EUR,tradecount
1608710400,2020-12-23 08:00:00,BTC/EUR,19294.6,19408.6,19250.9,19289.9,19328.8,219.26285249,4229558.498246851,1864
1608706800,2020-12-23 07:00:00,BTC/EUR,19282.2,19360.2,19151.0,19308.7,19275.9,167.03600002,3225248.0135861738,1834
1608703200,2020-12-23 06:00:00,BTC/EUR,19268.3,19347.0,19237.2,19286.4,19293.1,147.64882664,2847614.3301096964,1079
1608699600,2020-12-23 05:00:00,BTC/EUR,19222.1,19280.8,19129.4,19268.3,19215.4,120.68467657,2325388.5535537307,1363
1608696000,2020-12-23 04:00:00,BTC/EUR,19422.3,19429.4,19206.7,19233.7,19293.6,105.42628862,2027737.607430494,943
1608692400,2020-12-23 03:00:00,BTC/EUR,19368.5,19478.2,19343.7,19407.6,19428.9,51.11053659,991932.8499240839,421
1608688800,2020-12-23 02:00:00,BTC/EUR,19435.4,19452.2,19300.0,19368.3,19359.4,78.09692197,1512604.613791551,741
1608685200,2020-12-23 01:00:00,BTC/EUR,19670.1,19700.0,19373.0,19435.5,19562.1,308.91130325,6003845.634315375,1804
1608681600,2020-12-23 00:00:00,BTC/EUR,19508.5,19670.1,19426.9,19670.0,19562.5,227.37583172,4472482.6099324,1792
1608678000,2020-12-22 23:00:00,BTC/EUR,19470.7,19525.0,19392.8,19508.9,19461.7,233.04465271,4546444.82525412,1807
1608674400,2020-12-22 22:00:00,BTC/EUR,19257.6,19489.0,19214.0,19474.8,19315.1,236.39845940,4603812.71712312,1907
1608670800,2020-12-22 21:00:00,BTC/EUR,19270.9,19330.0,19184.5,19260.4,19272.8,149.86640792,2886486.963102368,1598
1608667200,2020-12-22 20:00:00,BTC/EUR,19249.6,19277.8,19155.5,19268.7,19230.2,233.58706445,4500919.068767715,1608
1608663600,2020-12-22 19:00:00,BTC/EUR,19267.8,19331.3,19182.5,19249.7,19286.7,196.16588894,3776134.5123283183,1516
1608660000,2020-12-22 18:00:00,BTC/EUR,19178.7,19335.9,19178.6,19265.0,19269.7,192.35084273,3705638.98519345,1715
1608656400,2020-12-22 17:00:00,BTC/EUR,19187.2,19244.3,19100.1,19179.9,19182.9,132.22005619,2535967.4557185816,1643
1608652800,2020-12-22 16:00:00,BTC/EUR,19197.6,19269.9,19100.0,19187.1,19182.7,290.19488989,5567998.371808419,2733
1608649200,2020-12-22 15:00:00,BTC/EUR,19216.0,19373.5,19171.3,19201.8,19273.2,293.84053100,5642267.1081558,2749
1608645600,2020-12-22 14:00:00,BTC/EUR,19233.2,19332.8,19150.0,19214.5,19253.2,411.82754649,7913060.392032105,3094
1608642000,2020-12-22 13:00:00,BTC/EUR,18967.2,19257.0,18907.7,19222.1,19084.6,366.33314666,7041692.3784131855,2893
1608638400,2020-12-22 12:00:00,BTC/EUR,18935.1,19045.0,18860.3,18968.8,18947.1,330.28685992,6265145.388450496,2596
1608634800,2020-12-22 11:00:00,BTC/EUR,18601.1,18950.0,18586.0,18935.0,18748.6,530.68481722,10048517.0140607,3163
1608631200,2020-12-22 10:00:00,BTC/EUR,18698.0,18720.0,18536.4,18601.1,18631.0,253.97290923,4724175.481878153,2253
1608627600,2020-12-22 09:00:00,BTC/EUR,18582.2,18698.0,18550.2,18698.0,18640.3,470.59568897,8799198.19236106,2903
1608624000,2020-12-22 08:00:00,BTC/EUR,18554.5,18624.1,18307.0,18582.2,18484.6,413.50392702,7683812.672671044,3202
1608620400,2020-12-22 07:00:00,BTC/EUR,18651.4,18701.0,18441.7,18554.3,18577.5,199.35019279,3698803.282083497,1785
1608616800,2020-12-22 06:00:00,BTC/EUR,18572.7,18730.7,18494.3,18657.7,18656.8,162.97362495,3040713.0022296146,1423
1608613200,2020-12-22 05:00:00,BTC/EUR,18787.1,18787.1,18525.9,18572.7,18611.6,100.34326062,1863645.276517074,999
1608609600,2020-12-22 04:00:00,BTC/EUR,18726.4,18857.8,18726.4,18787.1,18810.0,54.53467378,1024548.3697722378,541
1608606000,2020-12-22 03:00:00,BTC/EUR,18779.9,18780.0,18620.9,18690.1,18691.3,74.36984346,1389979.8112517458,621
1608602400,2020-12-22 02:00:00,BTC/EUR,18634.2,18780.0,18617.0,18780.0,18731.1,67.74149441,1272185.2650198,642
1608598800,2020-12-22 01:00:00,BTC/EUR,18470.1,18699.9,18415.0,18634.2,18561.6,69.33517797,1292005.5733285742,1051
1608595200,2020-12-22 00:00:00,BTC/EUR,18590.2,18730.4,18430.0,18470.2,18557.1,167.43591919,3092574.914623138,1887
1608591600,2020-12-21 23:00:00,BTC/EUR,18960.3,18986.0,18590.1,18590.1,18777.3,153.10491722,2846235.7216115217,1411
1608588000,2020-12-21 22:00:00,BTC/EUR,18924.1,18989.1,18887.3,18964.9,18943.0,126.58192068,2400613.467504132,1232
1608584400,2020-12-21 21:00:00,BTC/EUR,18667.9,18940.0,18638.0,18924.0,18809.0,159.58866106,3020055.8218994397,1537
1608580800,2020-12-21 20:00:00,BTC/EUR,18663.8,18744.2,18610.1,18665.2,18684.8,205.39197348,3833682.263398896,1432
1608577200,2020-12-21 19:00:00,BTC/EUR,18650.3,18758.8,18555.0,18655.1,18655.7,230.27962504,4295889.433083704,1795
1608573600,2020-12-21 18:00:00,BTC/EUR,18591.4,18770.0,18555.0,18648.6,18662.9,255.00861130,4755553.58868918,2352
1608570000,2020-12-21 17:00:00,BTC/EUR,19011.8,19028.8,18563.9,18590.1,18712.7,402.02327156,7473652.820627555,3571
1608566400,2020-12-21 16:00:00,BTC/EUR,18940.3,19105.5,18805.5,19013.8,18974.6,545.53009104,10372600.045016352,3059
1608562800,2020-12-21 15:00:00,BTC/EUR,19030.0,19050.0,18801.0,18940.3,18916.2,526.43717707,9970878.064858919,3302
1608559200,2020-12-21 14:00:00,BTC/EUR,18732.0,19042.4,18556.9,19030.1,18769.3,647.16845081,12315680.335759379,4067
1608555600,2020-12-21 13:00:00,BTC/EUR,18361.8,18741.3,18321.9,18732.1,18619.8,816.10970499,15287448.604843177,4825
1608552000,2020-12-21 12:00:00,BTC/EUR,18640.9,18644.7,18058.8,18361.1,18306.6,1035.85717100,19019477.102448102,7646
1608548400,2020-12-21 11:00:00,BTC/EUR,18501.0,18760.9,18364.9,18631.1,18636.5,709.61439008,13220896.663019488,5527
1608544800,2020-12-21 10:00:00,BTC/EUR,19278.0,19308.9,18501.2,18501.3,18817.6,1514.87983984,28027246.38083179,10251
1608541200,2020-12-21 09:00:00,BTC/EUR,19342.2,19443.0,19171.3,19278.0,19320.8,498.98318914,9619397.92024092,3675
1608537600,2020-12-21 08:00:00,BTC/EUR,19650.0,19706.6,19306.0,19343.4,19515.8,387.09424257,7487718.771728539,3186
1608534000,2020-12-21 07:00:00,BTC/EUR,19557.8,19659.2,19545.5,19649.6,19621.1,192.54302261,3783393.377077456,1733
1608530400,2020-12-21 06:00:00,BTC/EUR,19528.2,19560.6,19369.0,19559.0,19483.8,94.50882728,1848498.1527695202,1054
1608526800,2020-12-21 05:00:00,BTC/EUR,19518.9,19570.0,19482.1,19523.8,19525.4,46.29725075,903898.26419285,697
1608523200,2020-12-21 04:00:00,BTC/EUR,19582.1,19660.0,19435.2,19519.4,19576.0,106.26007420,2074132.8923394803,1105
1608519600,2020-12-21 03:00:00,BTC/EUR,19514.3,19600.0,19375.0,19570.1,19544.7,112.48508066,2201344.277024266,984
1608516000,2020-12-21 02:00:00,BTC/EUR,19334.0,19537.8,19317.2,19514.3,19434.0,80.69149425,1574638.0262427751,855
1608512400,2020-12-21 01:00:00,BTC/EUR,19320.9,19350.0,19258.6,19337.0,19309.6,56.99903813,1102190.40031981,535
1608508800,2020-12-21 00:00:00,BTC/EUR,19156.0,19321.0,19031.4,19317.7,19202.0,104.95366306,2027463.376894162,1189
1608505200,2020-12-20 23:00:00,BTC/EUR,19136.2,19225.0,19130.0,19155.9,19169.0,79.33557739,1519744.386925101,1011
1608501600,2020-12-20 22:00:00,BTC/EUR,19051.6,19220.5,18821.5,19136.2,19052.8,460.53103128,8812813.920780336,4055
1608498000,2020-12-20 21:00:00,BTC/EUR,19636.8,19664.9,19050.7,19050.7,19322.4,588.44172875,11210226.841897625,4530
1608494400,2020-12-20 20:00:00,BTC/EUR,19459.6,19740.8,19430.0,19636.8,19601.6,587.49847847,11536590.122019695,3913
1608490800,2020-12-20 19:00:00,BTC/EUR,19403.5,19496.0,19318.1,19470.8,19399.5,199.88576923,3891935.835523484,1769
1608487200,2020-12-20 18:00:00,BTC/EUR,19280.3,19405.9,19250.0,19402.4,19334.2,174.89087356,3393302.6851605442,1385
1608483600,2020-12-20 17:00:00,BTC/EUR,19200.1,19333.0,19200.1,19280.3,19281.6,92.61110023,1785569.795764469,1206
1608480000,2020-12-20 16:00:00,BTC/EUR,19385.0,19410.0,19200.0,19202.3,19327.0,148.03228205,2842560.2896087146,1609
1608476400,2020-12-20 15:00:00,BTC/EUR,19154.6,19448.0,19150.1,19385.0,19327.9,241.48485932,4681183.9979182,1948
1608472800,2020-12-20 14:00:00,BTC/EUR,19181.3,19243.5,19150.0,19159.5,19190.4,77.52008953,1485246.155350035,1134
1608469200,2020-12-20 13:00:00,BTC/EUR,19108.6,19199.0,18977.0,19180.2,19080.2,117.81590146,2259732.5531830923,1534
1608465600,2020-12-20 12:00:00,BTC/EUR,19160.4,19182.4,19011.0,19108.6,19086.8,137.54241461,2628242.983816646,1288
1608462000,2020-12-20 11:00:00,BTC/EUR,19029.1,19199.9,19023.0,19157.3,19108.7,93.28903389,1787166.008940897,1260
1608458400,2020-12-20 10:00:00,BTC/EUR,19181.8,19234.2,19014.2,19032.0,19118.5,151.83814359,2889783.5488048797,1692
1608454800,2020-12-20 09:00:00,BTC/EUR,19234.2,19250.0,19121.6,19181.3,19197.0,114.76086880,2201262.65271344,1274
1608451200,2020-12-20 08:00:00,BTC/EUR,19175.7,19300.0,19135.8,19224.5,19217.3,151.95571962,2921272.73183469,1507
1608447600,2020-12-20 07:00:00,BTC/EUR,19130.1,19186.4,19050.6,19175.7,19132.7,72.50419458,1390318.6840077061,945
1608444000,2020-12-20 06:00:00,BTC/EUR,19100.0,19209.4,19091.3,19130.1,19157.3,59.34571084,1135289.382940284,552
1608440400,2020-12-20 05:00:00,BTC/EUR,19031.9,19164.2,19015.9,19100.1,19098.3,17.38658009,332085.41837700893,480
1608436800,2020-12-20 04:00:00,BTC/EUR,18952.9,19050.0,18775.0,19026.7,18840.2,70.75312252,1346198.436251284,885
1608433200,2020-12-20 03:00:00,BTC/EUR,19038.1,19038.1,18815.0,18967.5,18909.3,73.07139344,1385981.6550732,779
1608429600,2020-12-20 02:00:00,BTC/EUR,19092.1,19146.5,18955.0,19043.3,19059.4,44.94798246,855957.9143805179,579
1608426000,2020-12-20 01:00:00,BTC/EUR,19075.6,19126.1,18997.9,19088.3,19069.0,46.06247462,879254.334288946,645
1608422400,2020-12-20 00:00:00,BTC/EUR,19361.1,19361.1,18900.0,19066.4,19084.3,358.39256823,6833256.062900472,2891
1608418800,2020-12-19 23:00:00,BTC/EUR,19421.8,19433.2,19275.2,19361.1,19362.2,109.92465947,2128262.324464617,1327
1608415200,2020-12-19 22:00:00,BTC/EUR,19462.4,19472.6,19364.7,19421.8,19418.6,105.34279695,2045946.7338035097,1291
1608411600,2020-12-19 21:00:00,BTC/EUR,19412.0,19539.0,19331.3,19464.9,19455.1,224.75883767,4374908.299362783,1925
1608408000,2020-12-19 20:00:00,BTC/EUR,19354.0,19427.0,19343.9,19414.0,19389.5,256.24435871,4974727.97999594,1690
1608404400,2020-12-19 19:00:00,BTC/EUR,19374.3,19409.1,19269.0,19354.2,19342.9,259.09727903,5014620.557802426,1838
1608400800,2020-12-19 18:00:00,BTC/EUR,19432.4,19457.3,19165.7,19369.1,19317.5,339.47050256,6575238.111134895,2723
1608397200,2020-12-19 17:00:00,BTC/EUR,19524.4,19531.9,19350.0,19445.3,19450.6,264.87897696,5150651.170680287,2643
1608393600,2020-12-19 16:00:00,BTC/EUR,19186.4,19610.0,19186.4,19530.0,19472.7,701.29740848,13696338.3876144,5274
1608390000,2020-12-19 15:00:00,BTC/EUR,19001.1,19250.3,19001.1,19188.5,19130.4,575.23744202,11037943.65620077,3631
1608386400,2020-12-19 14:00:00,BTC/EUR,18893.9,19234.0,18845.2,19000.8,19045.2,841.45769428,15988369.357475424,5664
