https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1602892800,2020-10-17 00:00:00,ETH/EUR,312.27,316.32,310.50,314.68,313.63,10115.41723517,3183119.4955632957,3104
1602806400,2020-10-16 00:00:00,ETH/EUR,322.53,324.35,309.33,312.44,314.26,29952.65746571,9358408.298586432,6938
1602720000,2020-10-15 00:00:00,ETH/EUR,323.12,326.06,316.71,322.47,321.60,21571.81520147,6956263.248018031,6498
1602633600,2020-10-14 00:00:00,ETH/EUR,324.90,329.59,317.50,323.13,323.06,28462.50186338,9197088.227113979,7186
1602547200,2020-10-13 00:00:00,ETH/EUR,326.83,328.52,319.46,324.77,324.29,25650.99448794,8330673.479848273,6511
1602460800,2020-10-12 00:00:00,ETH/EUR,316.84,334.52,310.14,326.98,323.65,53404.51377464,17462207.91403179,11312
1602374400,2020-10-11 00:00:00,ETH/EUR,312.24,317.98,310.94,316.98,315.32,18686.23709839,5923163.435447662,4587
1602288000,2020-10-10 00:00:00,ETH/EUR,308.78,319.30,308.67,312.56,315.24,36390.58298590,11374240.618072905,7758
1602201600,2020-10-09 00:00:00,ETH/EUR,298.24,311.54,295.50,308.98,304.59,29373.71671974,9075890.992065266,7736
1602115200,2020-10-08 00:00:00,ETH/EUR,290.49,300.58,284.10,298.46,292.43,38350.29795536,11446029.927756745,7808
1602028800,2020-10-07 00:00:00,ETH/EUR,290.00,291.39,284.20,290.58,288.69,29111.45432488,8459206.39772363,7282
1601942400,2020-10-06 00:00:00,ETH/EUR,299.90,300.91,287.10,290.40,293.61,32496.84725795,9437084.443708679,8054
1601856000,2020-10-05 00:00:00,ETH/EUR,300.81,303.64,297.12,299.86,299.47,16160.16456616,4845786.946808738,5319
1601769600,2020-10-04 00:00:00,ETH/EUR,296.07,302.59,294.30,300.86,298.54,10132.27353252,3048395.8149939673,3879
1601683200,2020-10-03 00:00:00,ETH/EUR,295.61,300.18,293.87,296.07,297.26,13876.51268365,4108419.1102482555,4073
1601596800,2020-10-02 00:00:00,ETH/EUR,300.53,302.48,285.42,295.41,292.44,32617.97095345,9635674.799358666,9657
1601510400,2020-10-01 00:00:00,ETH/EUR,307.15,315.32,294.72,300.85,303.85,51235.81828428,15414295.93082564,11244
1601424000,2020-09-30 00:00:00,ETH/EUR,306.71,308.11,300.44,306.62,303.84,15412.98350718,4725929.002971532,5812
1601337600,2020-09-29 00:00:00,ETH/EUR,302.44,302.44,302.44,302.44,0.00,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,ETH/EUR,302.44,302.44,302.44,302.44,0.00,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,ETH/EUR,302.44,302.44,302.44,302.44,0.00,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,ETH/EUR,302.44,302.44,302.44,302.44,0.00,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,ETH/EUR,298.96,308.00,290.31,302.44,298.36,26934.27077453,8146000.853048853,7757
1600905600,2020-09-24 00:00:00,ETH/EUR,275.36,302.21,272.12,299.01,291.59,46842.15265200,14006272.06447452,10314
1600819200,2020-09-23 00:00:00,ETH/EUR,294.31,295.08,269.01,274.97,283.91,49234.45535278,13537998.188353918,11784
1600732800,2020-09-22 00:00:00,ETH/EUR,289.59,296.87,287.00,294.26,291.76,32172.00579766,9466934.426019432,7839
1600646400,2020-09-21 00:00:00,ETH/EUR,313.84,317.87,283.01,289.49,297.03,77026.84311225,22298500.812565256,17004
1600560000,2020-09-20 00:00:00,ETH/EUR,325.60,325.62,309.26,313.82,316.42,25066.93071897,7866504.198227165,6723
1600473600,2020-09-19 00:00:00,ETH/EUR,325.10,328.09,319.58,325.63,324.04,14113.47100503,4595769.563367919,5240
1600387200,2020-09-18 00:00:00,ETH/EUR,329.22,331.22,316.49,325.12,323.44,29668.08271204,9645687.051338445,8386
1600300800,2020-09-17 00:00:00,ETH/EUR,309.54,332.95,308.27,329.22,323.99,50213.47876756,16531281.479856106,13496
1600214400,2020-09-16 00:00:00,ETH/EUR,307.84,316.19,300.71,309.36,308.84,30087.17309664,9307767.86917655,9021
1600128000,2020-09-15 00:00:00,ETH/EUR,318.39,322.00,306.25,308.12,312.55,40261.69030891,12405432.01798135,10075
1600041600,2020-09-14 00:00:00,ETH/EUR,309.88,323.49,301.10,318.04,314.16,42811.16552644,13615663.08402898,11399
1599955200,2020-09-13 00:00:00,ETH/EUR,327.78,329.68,299.37,309.88,312.12,52691.05974975,16327905.595252529,12212
1599868800,2020-09-12 00:00:00,ETH/EUR,316.25,328.12,309.27,327.99,319.33,36345.35198579,11920911.997819263,8049
1599782400,2020-09-11 00:00:00,ETH/EUR,311.91,317.00,301.47,316.53,309.92,34184.22400537,10820332.424419766,8846
1599696000,2020-09-10 00:00:00,ETH/EUR,297.99,318.00,297.69,311.84,311.38,67853.11268848,21159314.660775602,13761
1599609600,2020-09-09 00:00:00,ETH/EUR,287.09,304.63,281.47,297.99,296.52,55305.58458778,16480511.151312564,12223
