https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1604361600,2020-11-03 00:00:00,LINK/EUR,9.26652,9.26652,8.60439,8.83521,8.90445,170502.10361802,1506421.8909069663,2412
1604275200,2020-11-02 00:00:00,LINK/EUR,9.92999,10.02500,9.21140,9.28759,9.61703,164980.32227139,1532269.5913245392,2232
1604188800,2020-11-01 00:00:00,LINK/EUR,9.64999,9.95000,9.47000,9.90251,9.65938,80332.28739266,795491.2792286895,1099
1604102400,2020-10-31 00:00:00,LINK/EUR,9.50957,9.76822,9.38793,9.64984,9.63055,119529.01480079,1153435.8681852552,1142
1604016000,2020-10-30 00:00:00,LINK/EUR,9.67028,9.82552,9.26000,9.51822,9.45852,211658.09548682,2014608.3176245599,2192
1603929600,2020-10-29 00:00:00,LINK/EUR,9.76005,10.06119,9.49919,9.65242,9.79086,188021.69752984,1814864.393670978,2220
1603843200,2020-10-28 00:00:00,LINK/EUR,10.12672,10.30000,9.47778,9.76878,9.77802,241111.55527332,2355365.738922903,2896
1603756800,2020-10-27 00:00:00,LINK/EUR,9.91507,10.54849,9.77284,10.11702,10.25149,277277.44745119,2805221.481412638,2712
1603670400,2020-10-26 00:00:00,LINK/EUR,10.25213,10.49000,9.56165,9.92011,9.96326,293566.68461107,2912213.8036771216,3029
1603584000,2020-10-25 00:00:00,LINK/EUR,10.68971,10.80000,10.07000,10.25190,10.34930,177939.57714693,1824218.7509526117,1796
1603497600,2020-10-24 00:00:00,LINK/EUR,10.22167,10.84982,10.09330,10.70071,10.57116,169274.94416299,1811362.0877543488,2201
1603411200,2020-10-23 00:00:00,LINK/EUR,10.12500,10.37666,9.77059,10.23899,10.08097,304418.11727621,3116934.058609941,3119
1603324800,2020-10-22 00:00:00,LINK/EUR,10.38000,10.41000,9.97000,10.10547,10.22481,59718.69867984,603485.5179481627,732
1603238400,2020-10-21 00:00:00,LINK/EUR,8.34995,9.55000,8.30000,9.11990,9.10623,370509.60328384,3379010.5309882923,3528
1603152000,2020-10-20 00:00:00,LINK/EUR,9.27022,9.28565,8.28100,8.34317,8.73669,355270.78518351,2964084.556819505,2724
1603065600,2020-10-19 00:00:00,LINK/EUR,9.35000,9.50000,9.10988,9.26597,9.28029,138469.63990761,1283055.529294717,1271
1602979200,2020-10-18 00:00:00,LINK/EUR,9.06790,9.37179,9.06521,9.33357,9.27279,88435.67250568,825420.5398288397,888
1602892800,2020-10-17 00:00:00,LINK/EUR,9.05411,9.14574,8.91751,9.10988,9.02825,36352.58493528,331167.6864502086,442
1602806400,2020-10-16 00:00:00,LINK/EUR,9.16161,9.30000,8.79136,9.05000,9.03540,179598.49829932,1625366.409608846,1602
1602720000,2020-10-15 00:00:00,LINK/EUR,9.30301,9.33000,8.94238,9.17472,9.10919,324050.66869532,2973074.1510923267,2024
1602633600,2020-10-14 00:00:00,LINK/EUR,9.38000,9.66848,9.05818,9.31485,9.40853,183581.37526118,1710032.9733516024,1765
1602547200,2020-10-13 00:00:00,LINK/EUR,9.67231,9.83000,9.02823,9.35914,9.47507,218083.64608675,2041075.3754363453,2426
1602460800,2020-10-12 00:00:00,LINK/EUR,9.16392,10.03371,9.05003,9.64567,9.58848,486301.23624993,4690701.245458863,4207
1602374400,2020-10-11 00:00:00,LINK/EUR,8.86815,9.30767,8.57798,9.18404,9.00130,182840.68520224,1679216.1665247802,1832
1602288000,2020-10-10 00:00:00,LINK/EUR,8.78937,9.20000,8.55582,8.87360,8.98183,226763.38130147,2012207.5403167242,2183
1602201600,2020-10-09 00:00:00,LINK/EUR,8.13020,8.89900,7.98787,8.79057,8.57160,311080.62407748,2734576.0015967735,2894
1602115200,2020-10-08 00:00:00,LINK/EUR,7.62704,8.22823,7.17007,8.10018,7.75473,202520.62665423,1640453.5296120606,2133
1602028800,2020-10-07 00:00:00,LINK/EUR,7.47176,7.66032,7.16000,7.62926,7.45813,98558.82909194,751930.9324379743,1188
1601942400,2020-10-06 00:00:00,LINK/EUR,8.16243,8.18228,7.31000,7.46053,7.67952,185478.68468543,1383769.291456191,1846
1601856000,2020-10-05 00:00:00,LINK/EUR,8.01170,8.23920,7.93075,8.20985,8.08524,226995.92180392,1863602.4686219126,1305
1601769600,2020-10-04 00:00:00,LINK/EUR,7.93718,8.08333,7.81158,8.02071,7.92546,53038.39071044,425405.55075513315,606
1601683200,2020-10-03 00:00:00,LINK/EUR,7.87865,8.16068,7.80474,7.93625,7.93569,108735.90045180,862955.2899605978,898
1601596800,2020-10-02 00:00:00,LINK/EUR,8.21861,8.39666,7.54153,7.88959,7.82496,405170.11360560,3196626.076601606,2858
1601510400,2020-10-01 00:00:00,LINK/EUR,8.43892,8.84617,7.94000,8.22110,8.43481,332611.89483117,2734435.6485965312,2610
1601424000,2020-09-30 00:00:00,LINK/EUR,8.64400,8.72347,8.16802,8.40070,8.44320,215463.47887213,1810044.0469611026,1478
1601337600,2020-09-29 00:00:00,LINK/EUR,9.20870,9.20870,9.20870,9.20870,0.00000,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,LINK/EUR,9.20870,9.20870,9.20870,9.20870,0.00000,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,LINK/EUR,9.20870,9.20870,9.20870,9.20870,0.00000,0.00000000,0.0,0
