https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1608699600,2020-12-23 05:00:00,ETH/EUR,506.18,507.40,499.80,503.97,502.70,1328.44402306,669495.9343015483,806
1608696000,2020-12-23 04:00:00,ETH/EUR,510.83,511.84,504.84,506.07,507.05,1356.90572575,686689.2806303025,390
1608692400,2020-12-23 03:00:00,ETH/EUR,510.95,512.91,510.10,510.82,512.37,1199.75687171,612859.8052069022,172
1608688800,2020-12-23 02:00:00,ETH/EUR,514.01,515.02,509.37,510.93,512.16,559.55806747,285895.0034124471,272
1608685200,2020-12-23 01:00:00,ETH/EUR,523.11,523.13,513.21,514.08,517.84,569.90224255,292975.344850104,420
1608681600,2020-12-23 00:00:00,ETH/EUR,521.53,523.13,517.96,522.91,520.33,899.50591093,470360.6358844063,399
1608678000,2020-12-22 23:00:00,ETH/EUR,517.00,521.98,514.64,521.96,518.20,2229.91751836,1163927.7478831857,754
1608674400,2020-12-22 22:00:00,ETH/EUR,511.69,517.00,508.66,517.00,513.79,1776.87446813,918644.1000232099,647
1608670800,2020-12-22 21:00:00,ETH/EUR,513.91,516.06,510.75,511.83,513.12,1270.60843231,650335.5139092272,644
1608667200,2020-12-22 20:00:00,ETH/EUR,514.84,515.99,512.40,513.77,514.37,790.29943834,406032.1424359418,532
1608663600,2020-12-22 19:00:00,ETH/EUR,516.76,517.84,513.02,514.83,515.05,1004.26696669,517026.76246101275,569
1608660000,2020-12-22 18:00:00,ETH/EUR,515.30,517.00,514.36,516.46,515.83,810.86327978,418778.4494751788,538
1608656400,2020-12-22 17:00:00,ETH/EUR,515.52,517.42,512.11,515.29,515.52,1079.31019221,556157.7489438908,696
1608652800,2020-12-22 16:00:00,ETH/EUR,514.82,520.10,511.26,515.52,515.89,4035.17365136,2080212.720749107,1189
1608649200,2020-12-22 15:00:00,ETH/EUR,506.57,520.18,504.90,515.02,514.77,3056.71016142,1574266.8673345284,1613
1608645600,2020-12-22 14:00:00,ETH/EUR,505.99,507.66,504.51,506.52,506.17,2284.26741493,1157027.1310103436,1028
1608642000,2020-12-22 13:00:00,ETH/EUR,500.97,506.00,498.46,506.00,502.77,2294.13936772,1160834.52006632,1022
1608638400,2020-12-22 12:00:00,ETH/EUR,500.39,502.00,499.04,500.97,500.70,2446.23298117,1225489.3365767351,893
1608634800,2020-12-22 11:00:00,ETH/EUR,494.32,501.33,493.55,500.38,497.15,3649.46180901,1826117.6999924236,1231
1608631200,2020-12-22 10:00:00,ETH/EUR,496.40,498.08,492.44,494.32,495.22,1835.16923567,907160.8565763944,822
1608627600,2020-12-22 09:00:00,ETH/EUR,490.03,496.35,489.98,496.35,492.10,2156.39628470,1070327.295910845,1040
1608624000,2020-12-22 08:00:00,ETH/EUR,487.83,490.18,481.68,489.74,486.21,3592.37575409,1759330.1018080367,1521
1608620400,2020-12-22 07:00:00,ETH/EUR,494.56,496.00,485.25,487.83,489.21,4609.18881585,2248500.580036105,1595
1608616800,2020-12-22 06:00:00,ETH/EUR,496.94,497.71,494.29,494.29,496.28,617.51517050,305231.57362644497,386
1608613200,2020-12-22 05:00:00,ETH/EUR,501.20,501.20,495.33,497.01,496.99,473.87765098,235521.9313135698,224
1608609600,2020-12-22 04:00:00,ETH/EUR,499.42,502.89,499.42,501.19,501.74,214.88259980,107697.010193762,158
1608606000,2020-12-22 03:00:00,ETH/EUR,501.19,501.84,498.71,500.14,501.04,906.80359807,453528.7515387298,154
1608602400,2020-12-22 02:00:00,ETH/EUR,495.51,501.21,495.16,501.19,499.00,361.10751984,180983.4778686096,207
1608598800,2020-12-22 01:00:00,ETH/EUR,495.22,497.79,493.01,495.38,495.42,527.81517867,261469.0832095446,371
1608595200,2020-12-22 00:00:00,ETH/EUR,497.34,501.82,495.22,495.22,499.27,595.25322365,294781.301415953,361
1608591600,2020-12-21 23:00:00,ETH/EUR,504.63,505.91,497.12,497.12,501.77,722.66147728,359249.4735854336,391
1608588000,2020-12-21 22:00:00,ETH/EUR,505.74,505.91,503.75,504.62,504.72,461.13279184,232696.8294183008,350
1608584400,2020-12-21 21:00:00,ETH/EUR,498.64,505.87,498.30,505.86,502.59,1678.75849530,849216.772432458,652
1608580800,2020-12-21 20:00:00,ETH/EUR,499.84,501.84,498.08,498.65,499.70,753.11436729,375540.47924915847,426
1608577200,2020-12-21 19:00:00,ETH/EUR,497.57,501.32,497.48,499.87,499.78,932.82750682,466292.48583411344,524
1608573600,2020-12-21 18:00:00,ETH/EUR,494.77,500.47,492.76,497.48,497.44,2926.71912986,1455984.232722753,969
1608570000,2020-12-21 17:00:00,ETH/EUR,503.28,503.29,493.48,494.81,496.75,2205.52299876,1091314.8350164357,971
1608566400,2020-12-21 16:00:00,ETH/EUR,503.73,506.71,497.70,503.32,503.02,2324.51007142,1169972.4091471143,976
1608562800,2020-12-21 15:00:00,ETH/EUR,508.69,509.25,502.88,503.79,505.36,2509.75702556,1264390.4919068725,969
1608559200,2020-12-21 14:00:00,ETH/EUR,502.97,508.78,498.65,508.69,503.97,3004.50871946,1528363.5405021075,1352
1608555600,2020-12-21 13:00:00,ETH/EUR,495.99,502.98,495.43,502.85,500.53,4571.48203788,2298769.742747958,1481
1608552000,2020-12-21 12:00:00,ETH/EUR,498.83,501.04,491.30,496.04,495.81,8067.18054960,4001644.239823584,2570
1608548400,2020-12-21 11:00:00,ETH/EUR,499.11,504.94,497.81,498.76,501.32,5353.91956443,2670320.921955107,1958
1608544800,2020-12-21 10:00:00,ETH/EUR,514.19,516.86,496.71,499.02,503.16,12955.95956453,6465282.941891761,4405
1608541200,2020-12-21 09:00:00,ETH/EUR,519.43,521.80,510.27,514.19,515.19,7010.39091769,3604672.9059670214,1893
1608537600,2020-12-21 08:00:00,ETH/EUR,529.89,530.57,518.65,519.35,525.42,3225.79563542,1675316.963255377,1082
1608534000,2020-12-21 07:00:00,ETH/EUR,526.57,529.99,526.56,529.59,528.32,1640.11236447,868587.1070996674,602
1608530400,2020-12-21 06:00:00,ETH/EUR,523.99,526.57,520.07,526.57,523.62,789.23082896,415585.27760546724,427
1608526800,2020-12-21 05:00:00,ETH/EUR,526.13,526.75,523.62,524.18,525.15,676.80122708,354765.66721079435,256
1608523200,2020-12-21 04:00:00,ETH/EUR,527.41,528.89,525.37,526.13,526.54,515.75792821,271355.7187691273,266
1608519600,2020-12-21 03:00:00,ETH/EUR,526.78,528.95,522.96,527.39,526.22,435.58437925,229722.84577265749,279
1608516000,2020-12-21 02:00:00,ETH/EUR,525.01,526.80,524.29,526.80,525.62,333.32332808,175594.729232544,268
1608512400,2020-12-21 01:00:00,ETH/EUR,524.41,526.56,523.19,525.02,524.53,484.57591957,254412.0492926414,309
1608508800,2020-12-21 00:00:00,ETH/EUR,520.66,525.52,517.71,524.46,521.87,1301.00896939,682327.1640862795,588
1608505200,2020-12-20 23:00:00,ETH/EUR,517.32,523.24,517.32,521.19,520.28,1880.28052094,979983.4047087188,854
1608501600,2020-12-20 22:00:00,ETH/EUR,515.55,519.02,499.89,517.34,509.72,11231.50774960,5810508.219178064,2871
1608498000,2020-12-20 21:00:00,ETH/EUR,533.31,533.98,513.01,515.80,520.57,7478.57997626,3857451.5517549077,2016
1608494400,2020-12-20 20:00:00,ETH/EUR,528.47,534.36,528.47,533.30,531.96,2524.02365232,1346061.8137822559,1010
1608490800,2020-12-20 19:00:00,ETH/EUR,527.97,529.12,527.07,528.56,527.90,767.87077901,405865.7789535255,415
1608487200,2020-12-20 18:00:00,ETH/EUR,526.00,528.71,525.22,527.99,526.54,840.86506949,443968.3480400251,506
1608483600,2020-12-20 17:00:00,ETH/EUR,526.69,528.00,525.95,526.00,527.21,456.67470245,240210.89348869998,400
1608480000,2020-12-20 16:00:00,ETH/EUR,532.07,532.75,526.04,526.70,529.26,728.60204823,383754.69880274107,552
1608476400,2020-12-20 15:00:00,ETH/EUR,528.17,532.51,528.17,531.93,530.21,2725.71934949,1449891.8935742155,578
1608472800,2020-12-20 14:00:00,ETH/EUR,527.87,530.98,526.36,528.01,528.53,843.22405239,445230.73190244386,502
1608469200,2020-12-20 13:00:00,ETH/EUR,527.82,528.88,523.52,528.17,526.05,1223.84816716,646399.8864488972,606
1608465600,2020-12-20 12:00:00,ETH/EUR,530.83,531.36,524.00,527.99,527.41,1589.48743896,839233.4728964904,716
1608462000,2020-12-20 11:00:00,ETH/EUR,529.00,531.99,529.00,530.81,530.13,414.79686254,220178.32260485739,373
1608458400,2020-12-20 10:00:00,ETH/EUR,533.72,534.33,529.00,529.01,531.59,1265.80273916,669622.3070430317,654
1608454800,2020-12-20 09:00:00,ETH/EUR,532.99,536.55,532.09,533.73,533.93,1179.42607869,629495.0809792137,780
1608451200,2020-12-20 08:00:00,ETH/EUR,533.56,534.20,530.90,532.99,532.60,903.67129400,481647.76298906,646
1608447600,2020-12-20 07:00:00,ETH/EUR,528.67,533.77,528.56,533.48,531.28,1032.17074649,550642.4498374852,555
1608444000,2020-12-20 06:00:00,ETH/EUR,527.25,529.79,526.63,528.93,528.37,515.20584265,272507.8263528645,298
1608440400,2020-12-20 05:00:00,ETH/EUR,526.75,528.89,526.09,527.42,527.60,230.00916783,121311.43529689859,261
1608436800,2020-12-20 04:00:00,ETH/EUR,525.05,526.89,521.54,526.75,523.52,350.31393693,184527.8662778775,242
1608433200,2020-12-20 03:00:00,ETH/EUR,526.29,526.66,522.92,525.15,524.81,103.65860281,54436.3152656715,111
1608429600,2020-12-20 02:00:00,ETH/EUR,526.24,527.55,524.72,526.30,525.59,536.12228001,282161.155969263,206
1608426000,2020-12-20 01:00:00,ETH/EUR,526.61,528.18,525.20,526.33,526.99,712.54110575,375031.76018939755,269
1608422400,2020-12-20 00:00:00,ETH/EUR,534.94,535.01,521.60,526.61,526.42,4488.40791385,2363640.4915125486,1417
1608418800,2020-12-19 23:00:00,ETH/EUR,538.52,538.62,533.50,535.02,535.78,1533.61060767,820512.3473156034,508
1608415200,2020-12-19 22:00:00,ETH/EUR,541.26,541.26,537.01,538.74,539.24,1292.02602438,696066.1003744813,593
1608411600,2020-12-19 21:00:00,ETH/EUR,541.48,543.10,540.05,541.26,541.85,1580.14636598,855270.0220503347,706
1608408000,2020-12-19 20:00:00,ETH/EUR,536.37,541.60,536.36,541.51,539.40,1541.76306908,834880.1195375108,638
1608404400,2020-12-19 19:00:00,ETH/EUR,536.20,537.25,535.36,536.25,536.04,1377.20395367,738525.6201555375,492
1608400800,2020-12-19 18:00:00,ETH/EUR,539.81,539.82,533.69,536.15,536.82,1427.31107433,765252.8325020295,664
1608397200,2020-12-19 17:00:00,ETH/EUR,538.44,541.20,538.04,540.13,539.66,1971.19749835,1064702.9047837853,928
1608393600,2020-12-19 16:00:00,ETH/EUR,534.21,539.52,531.82,538.34,537.33,2416.90781939,1301118.1554904126,825
1608390000,2020-12-19 15:00:00,ETH/EUR,534.47,537.61,531.76,534.05,535.01,1353.29353428,722726.4119822339,742
1608386400,2020-12-19 14:00:00,ETH/EUR,535.09,538.05,529.58,534.43,534.95,2713.73190163,1450299.7401881206,1150
1608382800,2020-12-19 13:00:00,ETH/EUR,534.47,535.21,531.79,535.09,532.57,2394.15762035,1281089.8010730816,551
1608379200,2020-12-19 12:00:00,ETH/EUR,531.26,538.43,531.10,534.48,535.11,767.96053353,410459.5459611144,616
1608375600,2020-12-19 11:00:00,ETH/EUR,533.00,534.91,529.56,531.33,532.89,586.94226762,311860.0350545347,368
1608372000,2020-12-19 10:00:00,ETH/EUR,532.48,535.84,531.52,532.89,533.27,1155.26670529,615630.074581988,450
1608368400,2020-12-19 09:00:00,ETH/EUR,533.00,533.75,531.66,532.46,532.59,450.63694533,239946.14791041182,290
1608364800,2020-12-19 08:00:00,ETH/EUR,529.73,532.99,527.95,532.99,530.96,354.61864408,189008.19110819921,269
1608361200,2020-12-19 07:00:00,ETH/EUR,528.94,532.13,528.90,529.76,531.09,403.43678774,213724.6726731424,237
1608357600,2020-12-19 06:00:00,ETH/EUR,532.60,533.44,528.00,529.38,530.36,529.86326408,280499.01473867043,245
1608354000,2020-12-19 05:00:00,ETH/EUR,534.65,535.54,532.08,532.59,534.44,1226.70688510,653331.819935409,221
1608350400,2020-12-19 04:00:00,ETH/EUR,534.80,536.99,533.79,534.47,535.85,250.59602299,133936.0564074653,212
1608346800,2020-12-19 03:00:00,ETH/EUR,535.82,537.33,534.21,534.88,535.74,294.41826223,157478.44010158238,312
