https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1608735600,2020-12-23 15:00:00,ADA/EUR,0.120339,0.121058,0.118565,0.118744,0.119956,283152.20867023,33622.62586633779,168
1608732000,2020-12-23 14:00:00,ADA/EUR,0.120414,0.121399,0.119680,0.120559,0.120359,611279.22626432,73695.21223920015,195
1608728400,2020-12-23 13:00:00,ADA/EUR,0.123503,0.123850,0.119832,0.120669,0.122473,990568.67737270,119530.93172988633,333
1608724800,2020-12-23 12:00:00,ADA/EUR,0.118269,0.124152,0.117271,0.123658,0.120921,3412259.55196028,421953.1916763043,1012
1608721200,2020-12-23 11:00:00,ADA/EUR,0.122012,0.122012,0.115480,0.118405,0.117578,6580418.01340621,779154.3948773622,1317
1608717600,2020-12-23 10:00:00,ADA/EUR,0.123779,0.124782,0.121717,0.121832,0.123069,1195519.15536108,145652.4897359511,365
1608714000,2020-12-23 09:00:00,ADA/EUR,0.123839,0.124368,0.122800,0.124017,0.123579,1438183.03618959,178359.1455991244,293
1608710400,2020-12-23 08:00:00,ADA/EUR,0.124317,0.125307,0.123838,0.123998,0.124756,533237.97011243,66120.4418180011,162
1608706800,2020-12-23 07:00:00,ADA/EUR,0.124432,0.125248,0.123397,0.124759,0.124339,999478.78217850,124693.97338580748,253
1608703200,2020-12-23 06:00:00,ADA/EUR,0.124000,0.125080,0.124000,0.124854,0.124587,468975.86606384,58553.51278153468,124
1608699600,2020-12-23 05:00:00,ADA/EUR,0.124400,0.124612,0.122530,0.123854,0.123199,1209872.16884695,149847.50760037015,251
1608696000,2020-12-23 04:00:00,ADA/EUR,0.126177,0.126177,0.124400,0.124400,0.125114,1145053.03546457,142444.5976117925,189
1608692400,2020-12-23 03:00:00,ADA/EUR,0.126000,0.127360,0.125747,0.126389,0.126619,82567.17153853,10435.582243583269,42
1608688800,2020-12-23 02:00:00,ADA/EUR,0.126820,0.127199,0.125311,0.126610,0.126005,488707.23731669,61875.22331666612,120
1608685200,2020-12-23 01:00:00,ADA/EUR,0.129415,0.129443,0.126880,0.126954,0.127598,160170.49103263,20334.28451855651,73
1608681600,2020-12-23 00:00:00,ADA/EUR,0.128746,0.129470,0.127685,0.129448,0.129062,232245.70598622,30063.74214850421,93
1608678000,2020-12-22 23:00:00,ADA/EUR,0.127761,0.128781,0.127623,0.128290,0.128019,150556.17691022,19314.851935812123,86
1608674400,2020-12-22 22:00:00,ADA/EUR,0.127350,0.127895,0.126200,0.127752,0.126932,990011.18388054,126475.90876310675,252
1608670800,2020-12-22 21:00:00,ADA/EUR,0.128919,0.129405,0.126700,0.127359,0.128125,565027.92832592,71961.39192366085,274
1608667200,2020-12-22 20:00:00,ADA/EUR,0.129845,0.130065,0.128244,0.128925,0.129257,434078.59866805,55963.58333327835,142
1608663600,2020-12-22 19:00:00,ADA/EUR,0.129941,0.129951,0.128943,0.129608,0.129397,422456.15556983,54753.69741109452,153
1608660000,2020-12-22 18:00:00,ADA/EUR,0.130351,0.130351,0.129543,0.129894,0.129797,202657.06067379,26323.936239161278,75
1608656400,2020-12-22 17:00:00,ADA/EUR,0.131034,0.131098,0.129746,0.130012,0.130407,230428.96366789,29958.53042438971,77
1608652800,2020-12-22 16:00:00,ADA/EUR,0.131430,0.131879,0.129647,0.130194,0.130592,806237.26959795,104967.25507803551,192
1608649200,2020-12-22 15:00:00,ADA/EUR,0.130348,0.132560,0.129871,0.130608,0.131306,868059.29700687,113375.48866347328,320
1608645600,2020-12-22 14:00:00,ADA/EUR,0.129998,0.130478,0.129269,0.130024,0.129846,774031.61458893,100642.68665531104,207
1608642000,2020-12-22 13:00:00,ADA/EUR,0.129258,0.130000,0.127952,0.129952,0.129409,635945.05227305,82642.3314329874,132
1608638400,2020-12-22 12:00:00,ADA/EUR,0.129650,0.129897,0.128425,0.129253,0.129206,1258894.30044399,162715.86501528704,402
1608634800,2020-12-22 11:00:00,ADA/EUR,0.126183,0.130196,0.126183,0.129580,0.129141,1092335.11853741,141544.78466007757,292
1608631200,2020-12-22 10:00:00,ADA/EUR,0.126455,0.127110,0.126000,0.126281,0.126317,911272.39811636,115076.38970653205,229
1608627600,2020-12-22 09:00:00,ADA/EUR,0.124691,0.126241,0.124496,0.126240,0.125494,1064467.15928500,134378.3341881384,214
1608624000,2020-12-22 08:00:00,ADA/EUR,0.125000,0.125502,0.122008,0.124368,0.123914,683603.45410875,85018.39438059702,312
1608620400,2020-12-22 07:00:00,ADA/EUR,0.127248,0.128028,0.124500,0.124782,0.126813,737300.03728818,92001.77325289368,181
1608616800,2020-12-22 06:00:00,ADA/EUR,0.127753,0.128078,0.126500,0.127423,0.126941,423042.16247568,53905.301469138576,122
1608613200,2020-12-22 05:00:00,ADA/EUR,0.130755,0.130755,0.127001,0.127577,0.128474,336893.45260708,42979.856003253444,136
1608609600,2020-12-22 04:00:00,ADA/EUR,0.128400,0.131091,0.128400,0.131091,0.129944,557832.58028152,73126.83078168475,127
1608606000,2020-12-22 03:00:00,ADA/EUR,0.126875,0.129728,0.126685,0.128311,0.127672,538826.18614915,69137.32677098359,140
1608602400,2020-12-22 02:00:00,ADA/EUR,0.124468,0.126875,0.124468,0.126875,0.126031,191661.48055870,24317.050345885058,63
1608598800,2020-12-22 01:00:00,ADA/EUR,0.124948,0.125317,0.123126,0.124459,0.123987,157229.44421124,19568.61939708672,86
1608595200,2020-12-22 00:00:00,ADA/EUR,0.125152,0.126000,0.124501,0.125043,0.125234,182527.26684511,22823.757028113087,69
1608591600,2020-12-21 23:00:00,ADA/EUR,0.126299,0.126377,0.125000,0.125029,0.125873,85153.12429194,10646.609977096965,61
1608588000,2020-12-21 22:00:00,ADA/EUR,0.126084,0.126585,0.125716,0.126142,0.126285,141568.87388426,17857.78088950833,108
1608584400,2020-12-21 21:00:00,ADA/EUR,0.124709,0.126324,0.123970,0.126177,0.125034,694909.26447447,87681.56626359522,156
1608580800,2020-12-21 20:00:00,ADA/EUR,0.124662,0.125524,0.124285,0.124285,0.124672,240190.03431232,29852.018414506692,86
1608577200,2020-12-21 19:00:00,ADA/EUR,0.125182,0.125987,0.124210,0.124951,0.125150,369065.42781501,46115.094270913316,118
1608573600,2020-12-21 18:00:00,ADA/EUR,0.124097,0.125773,0.123642,0.125274,0.124596,472381.28848120,59177.093533193845,187
1608570000,2020-12-21 17:00:00,ADA/EUR,0.125816,0.125907,0.123846,0.124095,0.124627,1128576.95129206,140050.7567705882,255
1608566400,2020-12-21 16:00:00,ADA/EUR,0.125238,0.126395,0.124852,0.125849,0.125569,905584.76202178,113966.93671567898,251
1608562800,2020-12-21 15:00:00,ADA/EUR,0.125832,0.125832,0.124949,0.125253,0.125269,1691352.88081490,211847.02238070866,365
1608559200,2020-12-21 14:00:00,ADA/EUR,0.124820,0.126498,0.124185,0.125725,0.125255,1464435.78905026,184116.18957834397,404
1608555600,2020-12-21 13:00:00,ADA/EUR,0.122809,0.125270,0.122809,0.124977,0.124383,1958270.35273463,244738.75387371588,389
1608552000,2020-12-21 12:00:00,ADA/EUR,0.124500,0.124501,0.121140,0.122958,0.122551,3712405.24366171,456469.92395015655,1226
1608548400,2020-12-21 11:00:00,ADA/EUR,0.124822,0.126513,0.124500,0.124501,0.125309,1131369.16138738,140856.5919618902,358
