https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1603670400,2020-10-26 00:00:00,ADA/EUR,0.089794,0.090631,0.084000,0.087453,0.086816,9752407.71484108,852877.3118859971,1760
1603584000,2020-10-25 00:00:00,ADA/EUR,0.090844,0.091347,0.089392,0.089754,0.090324,3270458.07020090,293536.6936328116,778
1603497600,2020-10-24 00:00:00,ADA/EUR,0.090957,0.092398,0.090374,0.090994,0.091260,2286415.58749932,208050.09996891313,514
1603411200,2020-10-23 00:00:00,ADA/EUR,0.093738,0.095000,0.088793,0.090989,0.091587,4713563.49291883,428882.42865719146,1324
1603324800,2020-10-22 00:00:00,ADA/EUR,0.093878,0.095454,0.093030,0.093756,0.094734,874329.07827922,81973.59706314656,287
1603238400,2020-10-21 00:00:00,ADA/EUR,0.086676,0.091168,0.085977,0.089130,0.089227,9808724.54077432,874251.6183192151,1651
1603152000,2020-10-20 00:00:00,ADA/EUR,0.092220,0.092319,0.085325,0.086605,0.087778,7655850.49435979,663034.9320640296,1285
1603065600,2020-10-19 00:00:00,ADA/EUR,0.091808,0.094285,0.090650,0.092243,0.092520,3313758.96792091,305671.0684779285,889
1602979200,2020-10-18 00:00:00,ADA/EUR,0.090420,0.091800,0.090090,0.091767,0.090796,994945.81465911,91303.19257382255,414
1602892800,2020-10-17 00:00:00,ADA/EUR,0.089103,0.091619,0.088469,0.090673,0.090794,2089348.25671451,189447.47448107478,449
1602806400,2020-10-16 00:00:00,ADA/EUR,0.090804,0.091691,0.087640,0.088921,0.088862,3742757.99682686,332809.7838358412,660
1602720000,2020-10-15 00:00:00,ADA/EUR,0.091437,0.092270,0.089259,0.091038,0.090927,4454684.78584355,405545.59353362507,799
1602633600,2020-10-14 00:00:00,ADA/EUR,0.093275,0.095616,0.089701,0.091500,0.092876,4233901.22011296,387401.9616403358,1046
1602547200,2020-10-13 00:00:00,ADA/EUR,0.092680,0.096988,0.091683,0.093000,0.094888,7450954.69275899,692938.7864265861,1284
1602460800,2020-10-12 00:00:00,ADA/EUR,0.090159,0.096081,0.086826,0.092700,0.091305,11155398.47357642,1034105.4385005343,1982
1602374400,2020-10-11 00:00:00,ADA/EUR,0.088312,0.091910,0.087919,0.090136,0.090286,4603912.96639139,414978.2991386543,868
1602288000,2020-10-10 00:00:00,ADA/EUR,0.085985,0.094000,0.085950,0.088374,0.090287,8655949.55934627,764960.8863576672,2128
1602201600,2020-10-09 00:00:00,ADA/EUR,0.081960,0.086743,0.080754,0.085675,0.083607,7362582.86471507,630789.2869344637,1439
1602115200,2020-10-08 00:00:00,ADA/EUR,0.079713,0.082750,0.076375,0.081551,0.079449,6303440.52119426,514051.87794391304,1220
1602028800,2020-10-07 00:00:00,ADA/EUR,0.079092,0.080211,0.076223,0.079713,0.078893,2987638.08895179,238153.59498461403,645
1601942400,2020-10-06 00:00:00,ADA/EUR,0.082759,0.083657,0.077876,0.079029,0.080278,7759716.79341214,613242.658466568,1456
